"Name","c_2","num_hidden_layers","c_1","omega","epochs","num_particles","num_per_layer","_wandb","epoch","val_loss","train_loss"
"wandering-sweep-489","2","1","2","0.25","250","86","10","null","249","0.1531040221452713","0.13780677219231924"
"vital-sweep-488","2","1","2","0.2","250","86","10","null","249","0.11513108611106872","0.11970754679706362"
"amber-sweep-487","2","1","2","0.15","250","86","10","null","249","0.1419841766357422","0.12152345677216848"
"sparkling-sweep-486","2","1","2","0.1","250","86","10","null","249","0.13104004164536795","0.12313427908553018"
"pious-sweep-485","2","1","2","0.05","250","86","10","null","249","0.14314332604408264","0.13099279171890682"
"neat-sweep-484","2","1","2","0","250","86","10","null","249","0.1486279199520747","0.12886290003856024"
"electric-sweep-483","2","1","2","1","250","84","10","null","249","0.1993031948804855","0.21834341651863523"
"exalted-sweep-482","2","1","2","0.95","250","84","10","null","249","0.16117254594961802","0.16972491674953036"
"deft-sweep-481","2","1","2","0.9","250","84","10","null","249","0.14166378875573477","0.1285944307843844"
"scarlet-sweep-480","2","1","2","0.85","250","84","10","null","249","0.11541669468084972","0.11798715574873818"
"morning-sweep-479","2","1","2","0.8","250","84","10","null","249","0.10839831481377284","0.07823074460029603"
"deep-sweep-478","2","1","2","0.75","250","84","10","null","249","0.05364290500680605","0.032579186227586536"
"usual-sweep-477","2","1","2","0.7","250","84","10","null","249","0.05694862008094788","0.0387010863257779"
"dry-sweep-476","2","1","2","0.65","250","84","10","null","249","0.18626926938692728","0.10868131236897574"
"astral-sweep-475","2","1","2","0.6","250","84","10","null","249","0.1239550898472468","0.06127117748061816"
"efficient-sweep-474","2","1","2","0.55","250","84","10","null","249","0.05800895045200984","0.05499655140770806"
"expert-sweep-473","2","1","2","0.5","250","84","10","null","249","0.12878052194913228","0.10190351439846888"
"magic-sweep-472","2","1","2","0.45","250","84","10","null","249","0.09339205970366796","0.06367520756191677"
"rural-sweep-471","2","1","2","0.4","250","84","10","null","249","0.13071542183558146","0.10647865566942429"
"pleasant-sweep-470","2","1","2","0.35","250","84","10","null","249","0.12599681417147318","0.12611402372519176"
"cosmic-sweep-469","2","1","2","0.3","250","84","10","null","249","0.1541020542383194","0.14372970047924255"
"decent-sweep-468","2","1","2","0.25","250","84","10","null","249","0.13143522739410402","0.12473591334289974"
"likely-sweep-467","2","1","2","0.2","250","84","10","null","249","0.1511297474304835","0.1282738705476125"
