"Name","c_1","num_particles","num_hidden_layers","c_2","omega","epochs","num_per_layer","_wandb","epoch","val_loss","train_loss"
"elated-sweep-225","2","25","3","2","0.9","250","10","null","249","0.22055672307809193","0.2314749946196874"
"ruby-sweep-224","2","24","3","2","0.9","250","10","null","249","0.13320400913556416","0.13979395959112378"
"divine-sweep-223","2","23","3","2","0.9","250","10","null","249","0.26886974374453226","0.2427653067641788"
"amber-sweep-222","2","22","3","2","0.9","250","10","null","249","0.266283788283666","0.2329071323076884"
"dainty-sweep-221","2","21","3","2","0.9","250","10","null","249","0.13546724716822306","0.1366344506541888"
"sunny-sweep-220","2","20","3","2","0.9","250","10","null","249","0.28355468114217125","0.2452479945288764"
"curious-sweep-219","2","19","3","2","0.9","250","10","null","249","0.26068344712257385","0.2679038551118639"
"clean-sweep-218","2","18","3","2","0.9","250","10","null","249","0.17048555115858713","0.18776062329610188"
"fearless-sweep-217","2","17","3","2","0.9","250","10","null","249","0.21719077130158743","0.22446985873911116"
"playful-sweep-216","2","16","3","2","0.9","250","10","null","249","0.29691184163093565","0.22328031990263195"
"effortless-sweep-215","2","15","3","2","0.9","250","10","null","249","0.28227595885594686","0.22342904607454936"
"dry-sweep-214","2","14","3","2","0.9","250","10","null","249","0.21353026032447817","0.2503960407442517"
"glowing-sweep-213","2","13","3","2","0.9","250","10","null","249","0.27959956328074137","0.24477123883035448"
"dry-sweep-212","2","12","3","2","0.9","250","10","null","249","0.26582499742507937","0.28964661690923904"
"radiant-sweep-211","2","11","3","2","0.9","250","10","null","249","0.2056883066892624","0.22434404061900243"
"whole-sweep-210","2","10","3","2","0.9","250","10","null","249","0.2443846056858699","0.2387860417366028"
"northern-sweep-209","2","9","3","2","0.9","250","10","null","249","0.3113284925619761","0.31673835449748566"
"glorious-sweep-208","2","8","3","2","0.9","250","10","null","249","0.2772135396798452","0.2814932392703162"
"polished-sweep-207","2","7","3","2","0.9","250","10","null","249","0.3557993690172831","0.34646410677168105"
"robust-sweep-206","2","6","3","2","0.9","250","10","null","249","0.5046992003917694","0.43175903028912016"
"deep-sweep-205","2","5","3","2","0.9","250","10","null","249","0.30656091968218485","0.274424276749293"
"swift-sweep-204","2","4","3","2","0.9","250","10","null","249","0.3184122721354167","0.31689302259021335"
"desert-sweep-202","2","2","3","2","0.9","250","10","null","249","0.8602637847264608","0.7993992686271667"
"smart-sweep-203","2","3","3","2","0.9","250","10","null","249","0.4725428024927775","0.4350614885489146"
"swept-sweep-201","2","1","3","2","0.9","250","10","null","249","4.820036093393962","4.694994163513184"
"super-sweep-200","2","100","2","2","0.9","250","10","null","249","0.18403839866320293","0.14087603075636757"
"lively-sweep-199","2","99","2","2","0.9","250","10","null","249","0.1202017158269882","0.13477158182197146"
"dry-sweep-198","2","98","2","2","0.9","250","10","null","249","0.12873441278934478","0.12416493362850611"
"dazzling-sweep-197","2","97","2","2","0.9","250","10","null","249","0.12842262883981068","0.12884272800551522"
"clear-sweep-196","2","96","2","2","0.9","250","10","null","249","0.11883279979228974","0.10668199012676877"
"zany-sweep-195","2","95","2","2","0.9","250","10","null","249","0.10937204957008362","0.12280532154772016"
"morning-sweep-194","2","94","2","2","0.9","250","10","null","249","0.1706499010324478","0.16675072809060415"
"solar-sweep-193","2","93","2","2","0.9","250","10","null","249","0.12749932805697123","0.12345485074652564"
"sweet-sweep-192","2","92","2","2","0.9","250","10","null","249","0.1360755423704783","0.1228829758034812"
"good-sweep-191","2","91","2","2","0.9","250","10","null","249","0.12808868885040284","0.14625669055514864"
