"Name","c_1","c_2","epochs","num_particles","num_per_layer","num_hidden_layers","omega","_wandb","val_loss","train_loss","epoch"
"fallen-sweep-62","2","0.5","250","50","10","1","0.95","null","0.09408995807170868","0.09419098943471908","249"
"resilient-sweep-61","2","0.5","250","50","10","1","0.9","null","0.04266535217563312","0.03707826319668028","249"
"fanciful-sweep-60","2","0.5","250","50","10","1","0.85","null","0.05426037808259328","0.03929852955043315","249"
"solar-sweep-59","2","0.5","250","50","10","1","0.8","null","0.05257487744092941","0.043052698257896635","249"
"lucky-sweep-58","2","0.5","250","50","10","1","0.75","null","0.06999810238679251","0.05037875407271915","249"
"hardy-sweep-57","2","0.5","250","50","10","1","0.7","null","0.10707037349541984","0.09557403789626227","249"
"eager-sweep-56","2","0.5","250","50","10","1","0.65","null","0.11116824348767598","0.11520514455106524","249"
"clear-sweep-55","2","0.5","250","50","10","1","0.6","null","0.0961243152618408","0.10197858727640575","249"
"azure-sweep-54","2","0.5","250","50","10","1","0.55","null","0.11147263298432032","0.12532724175188276","249"
"young-sweep-53","2","0.5","250","50","10","1","0.5","null","0.1190263420343399","0.12711644768714905","249"
"sparkling-sweep-52","2","0.5","250","50","10","1","0.45","null","0.13556708594163258","0.15597505668799083","249"
"floral-sweep-51","2","0.5","250","50","10","1","0.4","null","0.1449986199537913","0.16220871441894108","249"
"pleasant-sweep-50","2","0.5","250","50","10","1","0.35","null","0.157664888103803","0.17344489494959514","249"
"fiery-sweep-49","2","0.5","250","50","10","1","0.3","null","0.16462270319461822","0.18643052809768257","249"
"visionary-sweep-48","2","0.5","250","50","10","1","0.25","null","0.1657130887111028","0.1905720247162713","249"
"lemon-sweep-47","2","0.5","250","50","10","1","0.2","null","0.15619304676850637","0.17338857716984218","249"
"restful-sweep-46","2","0.5","250","50","10","1","0.15","null","0.15963231027126312","0.1740832332107756","249"
"cerulean-sweep-45","2","0.5","250","50","10","1","0.1","null","0.16049807171026867","0.1710074351893531","249"
"likely-sweep-44","2","0.5","250","50","10","1","0.05","null","0.16321734885374706","0.17176725930637785","249"
"pleasant-sweep-43","2","0.5","250","50","10","1","0","null","0.15353943010171253","0.1660290327337053","249"
"daily-sweep-42","2","0.25","250","50","10","1","1","null","0.11281934678554537","0.11418431119786368","249"
"lemon-sweep-41","2","0.25","250","50","10","1","0.95","null","0.09835491428772608","0.09579731590218014","249"
"stoic-sweep-40","2","0.25","250","50","10","1","0.9","null","0.08222873459259669","0.08235176205635071","249"
"misty-sweep-39","2","0.25","250","50","10","1","0.85","null","0.07467515170574188","0.06252936687734392","249"
"devoted-sweep-38","2","0.25","250","50","10","1","0.8","null","0.11232770085334778","0.11361497756507662","249"
"lemon-sweep-37","2","0.25","250","50","10","1","0.75","null","0.05006051833430926","0.044184028853972754","249"
"amber-sweep-36","2","0.25","250","50","10","1","0.7","null","0.05718445181846619","0.04566593017015192","249"
"chocolate-sweep-35","2","0.25","250","50","10","1","0.65","null","0.08671400249004364","0.08280705942047967","249"
"giddy-sweep-34","2","0.25","250","50","10","1","0.6","null","0.1166200598080953","0.1323160194688373","249"
"clean-sweep-33","2","0.25","250","50","10","1","0.55","null","0.1347120702266693","0.15117176042662728","249"
"azure-sweep-32","2","0.25","250","50","10","1","0.5","null","0.15575161278247834","0.17026458183924356","249"
"efficient-sweep-31","2","0.25","250","50","10","1","0.45","null","0.1760679652293523","0.18932912117905087","249"
"magic-sweep-30","2","0.25","250","50","10","1","0.4","null","0.18215657770633695","0.196271022160848","249"
"lunar-sweep-29","2","0.25","250","50","10","1","0.35","null","0.1810635358095169","0.19739410049385497","249"
"zesty-sweep-28","2","0.25","250","50","10","1","0.3","null","0.18013397057851155","0.1961781511704127","249"
"lyric-sweep-27","2","0.25","250","50","10","1","0.25","null","0.17998062670230866","0.1961864047580295","249"
"pious-sweep-26","2","0.25","250","50","10","1","0.2","null","0.1783941000699997","0.19187612069977655","249"
"lyric-sweep-25","2","0.25","250","50","10","1","0.15","null","0.18253197868665055","0.1917450686295827","249"
"faithful-sweep-24","2","0.25","250","50","10","1","0.1","null","0.17617052296797434","0.18673842549324035","249"
"bright-sweep-23","2","0.25","250","50","10","1","0.05","null","0.16468336482842763","0.18050896293587151","249"
"fearless-sweep-22","2","0.25","250","50","10","1","0","null","0.1819655070702235","0.196057747470008","249"
"fast-sweep-21","2","0","250","50","10","1","1","null","0.7337558746337891","0.5909392343627082","249"
"sleek-sweep-20","2","0","250","50","10","1","0.95","null","0.736248807112376","0.5896908680597941","249"
